"title","original_price","special_price","discount_per","rating","popularity","release_date","publisher","genre","discount_abs","release_date_numeric"
"Minecraft",39.95,19.97,50.01,8.1,1496,2012-05-09,"Microsoft Game Studios","Sandbox",19.98,15469
"Overcooked! 2 - Gourmet Edition",63.75,15.93,75.01,7.9,188,2018-08-07,"Team17","Arcade",47.82,17750
"The Last Campfire",22.5,2.25,90,7.9,69,2020-08-27,"Hello Games","Action Puzzle",20.25,18501
"Call Of Juarez: Gunslinger",29.99,2.99,90.03,8.1,264,2013-05-22,"Ubisoft","FPS",27,15847
"Overcooked Special Edition",26,5.2,80,7.9,261,2016-08-02,"Team17","Arcade",20.8,17015
"LIMBO",14.99,1.5,89.99,8.1,655,2010-07-21,"PLAYDEAD","2D Platformer",13.49,14811
"INSIDE",29.99,2.99,90.03,8.3,1108,2016-06-29,"PLAYDEAD","2D Platformer",27,16981
"Duck Detective - The Secret Salami",15,13.5,10,8.5,6,2024-05-23,"Happy Broccoli Games","Adventure",1.5,19866
"Worms W.M.D",45,9,80,7.5,22,2016-08-23,"Team17","Artillery",36,17036
"Minecraft Dungeons",29.95,14.97,50.02,6.3,491,2020-05-26,"Xbox Game Studios","Action RPG",14.98,18408
"Minigolf Adventure",7.5,1.5,80,4,4,2021-10-22,"Revulo Games","Golf",6,18922
"Minecraft Dungeons Ultimate Edition",59.95,29.97,50.01,6.3,491,2020-05-26,"Xbox Game Studios","Action RPG",29.98,18408
"Overcooked! All You Can Eat",56.95,22.78,60,7.2,67,2020-11-12,"Team17","Compilation",34.17,18578
"ibb & obb",22.5,2.25,90,8,42,2013-08-06,"Sparpweed","Action Puzzle",20.25,15923
"SpongeBob: Krusty Cook-Off",19.5,6.43,67.03,5,4,2021-04-29,"Tilting Point","Tycoon",13.07,18746
"Old Man's Journey",14.99,2.99,80.05,6.7,56,2017-05-17,"Broken Rules","Adventure",12,17303
"Ultimate Chicken Horse",22.5,10.12,55.02,8.1,43,2018-09-25,"Clever Endeavour Games","2D Platformer",12.38,17799
"Flight Sim 2019",19.99,2.99,85.04,4.5,4,2020-02-29,"SC Ovilex Soft","Aircraft Sim",17,18321
"The Escapists: Complete Edition",19.99,3.99,80.04,6.9,44,2015-02-13,"Team17","Action",16,16479
"Rubber Bandits",14.99,2.99,80.05,7.2,5,2021-12-02,"Flashbulb","Party",12,18963
"Cat Quest II",22.5,6.75,70,7.8,44,2019-09-24,"PQube","Action RPG",15.75,18163
"Who Wants to Be a Millionaire?",60,18,70,6,4,2010-10-05,"Ubisoft","Trivia",42,14887
"Tools Up! Ultimate Edition",52.5,7.49,85.73,7.6,17,2019-12-03,"All in! Games","Virtual Career",45.01,18233
