"title","original_price","special_price","discount_per","rating","popularity","release_date","publisher","genre","discount_abs","release_date_numeric"
"NBA 2K24",90.260954,14.429114,84.01,2.2,297,2023-09-08,"2K Games","Basketball Sim",75.83184,19608
"Suicide Squad: Kill the Justice League",105.306954,42.113754,60.01,3.6,1788,2024-02-02,"Warner Bros. Interactive Entertainment","Third Person Shooter",63.1932,19755
"MY HERO ONE'S JUSTICE 2",90.260954,22.553954,75.01,5.1,56,2020-03-13,"Bandai Namco Games","3D Fighting",67.707,18334
"Train Sim World 4",60.168954,18.040154,70.02,6.3,7,2023-09-26,"Dovetail Games","Train Sim",42.1288,19626
"Tom Clancy's Ghost Recon Breakpoint",90.260954,18.040154,80.01,3.3,1149,2019-10-01,"Ubisoft","Open-World Action",72.2208,18170
"Tom Clancy’s Rainbow Six Extraction",60.168954,15.030954,75.02,5.2,179,2022-01-20,"Ubisoft","Tactical FPS",45.138,19012
"Bum Simulator",27.067754,8.109794,70.04,6.5,11,2023-05-12,"Ragged Games","Virtual Life",18.95796,19489
"The Planet Crafter",36.095354,25.262234,30.01,5.2,37,2022-03-24,"Miju Games","Sandbox",10.83312,19075
"The Lord of the Rings: Gollum",75.214954,22.553954,70.01,1.2,418,2023-05-25,"Nacon","Action Adventure",52.661,19502
"Sons Of The Forest",45.122954,31.581554,30.01,7.3,74,2024-02-22,"Newnight","Survival",13.5414,19775
"Gotham Knights",90.260954,18.040154,80.01,5.2,857,2022-10-21,"Warner Bros. Games","Open-World Action",72.2208,19286
"UNDYING",30.076954,18.040154,40.02,7.1,9,2023-12-07,"Skystone Games","Survival",12.0368,19698
"Inkulinati",37.599954,15.030954,60.02,6.9,13,2024-02-22,"Daedalic Entertainment","Turn-Based Strategy",22.569,19775
"Gigantic: Rampage Edition",30.076954,18.040154,40.02,8.3,50,2017-07-20,"Motiga","MOBA",12.0368,17367
"Marvel's Midnight Suns",90.260954,22.553954,75.01,7,264,2022-12-02,"2K Games","Turn-Based Tactics",67.707,19328
"Against the Storm",45.122954,29.324654,35.01,8.2,119,2023-12-08,"Hooded Horse","Management",15.7983,19699
"Scorn",75.214954,22.553954,70.01,6.6,554,2022-10-14,"Kepler Interactive","Action Adventure",52.661,19279
"Bopl Battle",15.030954,9.012554,40.04,8.9,35,2023-11-16,"Zapray Games","Action",6.0184,19677
"Scars Above",45.122954,9.012554,80.03,6.8,61,2023-02-28,"Prime Matter","Action Adventure",36.1104,19416
"Myth of Empires",45.122954,31.581554,30.01,7.1,8,2024-02-21,"Imperium Interactive Entertainment Limited","MMORPG",13.5414,19774
"Evil West",75.214954,26.315454,65.01,7.2,285,2022-11-22,"Focus Entertainment","Third Person Shooter",48.8995,19318
"Jujutsu Kaisen Cursed Clash",90.260954,63.178154,30.01,4.1,141,2024-02-02,"Bandai Namco Games","3D Fighting",27.0828,19755
"Welcome to ParadiZe",45.122954,30.227414,33.01,6.9,12,2024-02-29,"Nacon","Survival",14.89554,19782
"A Plague Tale: Requiem",105.306954,40.007314,62.01,8.3,1017,2022-10-18,"Focus Entertainment","Linear Action Adventure",65.29964,19283
"Sker Ritual",37.599954,30.076954,20.01,7.5,14,2024-04-18,"Wales Interactive","Survival",7.523,19831
"COCOON",37.599954,22.553954,40.02,7.9,374,2023-09-29,"Annapurna Interactive","Action Adventure",15.046,19629
"Isonzo",45.122954,14.880494,67.02,6.7,13,2022-09-13,"M2H","Tactical FPS",30.24246,19248
"The Thaumaturge",52.645954,39.480704,25.01,7.3,53,2024-03-04,"11 bit studios","RPG",13.16525,19786
"Disney Dreamlight Valley",60.168954,45.122954,25.01,5,28,2023-12-05,"Gameloft","Virtual Life",15.046,19696
"Pacific Drive",45.122954,36.095354,20.01,7,147,2024-02-21,"Kepler Interactive","Survival",9.0276,19774
"Potion Craft: Alchemist Simulator",30.076954,13.526354,55.03,6.9,47,2022-12-13,"tinyBuild","Virtual Career",16.5506,19339
"Chivalry 2",60.168954,19.845674,67.02,5.3,229,2021-06-08,"Tripwire Interactive","3D Beat-'Em-Up",40.32328,18786
"Tiny Tina's Wonderlands",90.260954,22.553954,75.01,5.7,321,2022-03-25,"2K Games","FPS",67.707,19076
"Amnesia: The Bunker",37.599954,18.792454,50.02,7.7,150,2023-06-06,"Frictional Games","Survival",18.8075,19514
"Jagged Alliance 3",67.691954,33.838454,50.01,8.1,149,2023-07-14,"THQ Nordic","Turn-Based Tactics",33.8535,19552
"PGA TOUR 2K23",90.260954,22.553954,75.01,4.8,31,2022-10-11,"2K Games","Golf Sim",67.707,19276
"Hogwarts Legacy",90.260954,45.122954,50.01,8.4,4527,2023-02-07,"Warner Bros. Interactive Entertainment","Western RPG",45.138,19395
"BLACKTAIL",45.122954,14.880494,67.02,6.6,36,2022-12-15,"Focus Entertainment","FPS",30.24246,19341
"September 7th",10.517154,2.828648,73.1,6.3,7,2023-01-06,"EMIKA_GAMES","First-Person Adventure",7.688506,19363
"Aliens: Dark Descent",60.168954,33.086154,45.01,8.1,119,2023-06-20,"Focus Entertainment","Real-Time Tactics",27.0828,19528
"Colony Ship: A Post-Earth Role Playing Game",60.168954,39.104554,35.01,7.5,21,2021-04-06,"Iron Tower Studio","Western RPG",21.0644,18723
"Friends vs Friends",15.030954,7.507954,50.05,7.1,13,2023-05-30,"Raw Fury","Tactical FPS",7.523,19507
"My Time at Sandrock",60.168954,45.122954,25.01,7.3,66,2023-11-02,"Pathea Games","RPG",15.046,19663
"MONSTER HUNTER RISE",60.168954,15.030954,75.02,6.9,1212,2021-03-26,"Capcom","Action RPG",45.138,18712
"Figment 2: Creed Valley",37.599954,9.388704,75.03,6.1,17,2023-03-09,"Bedtime Digital Games","Action Adventure",28.21125,19425
"Dome Keeper",27.067754,10.818074,60.03,7.9,38,2022-09-27,"Raw Fury","Defense",16.24968,19262
"Harold Halibut",52.645954,42.113754,20.01,6.7,70,2024-04-16,"Slow Bros.","Adventure",10.5322,19829
"ARK: Survival Ascended",67.691954,54.150554,20,4.5,33,2023-11-30,"Studio Wildcard","Sandbox",13.5414,19691
"Bread & Fred",22.553954,14.654804,35.02,6.6,7,2023-05-23,"Apogee Entertainment","2D Platformer",7.89915,19500
