title,original_price,special_price,meta_score,meta_reviews,user_score,user_reviews,release_date,publisher,genre
Minecraft,39.95,19.97,82,63,8.1,1496,09-05-2012,Microsoft Game Studios,Sandbox
Minecraft Deluxe Collection,49.95,24.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Overcooked! 2 - Gourmet Edition,63.75,15.93,81,40,7.9,188,07-08-2018,Team17,Arcade
The Last Campfire,22.5,2.25,83,12,7.9,69,27-08-2020,Hello Games,Action Puzzle
Call Of Juarez: Gunslinger,29.99,2.99,76,36,8.1,264,22-05-2013,Ubisoft,FPS
Overcooked Special Edition,26.0,5.2,78,24,7.9,261,02-08-2016,Team17,Arcade
LIMBO,14.99,1.5,90,89,8.1,655,21-07-2010,PLAYDEAD,2D Platformer
INSIDE,29.99,2.99,93,92,8.3,1108,29-06-2016,PLAYDEAD,2D Platformer
Duck Detective - The Secret Salami,15.0,13.5,81,8,8.5,6,23-05-2024,Happy Broccoli Games,Adventure
Worms W.M.D,45.0,9.0,75,24,7.5,22,23-08-2016,Team17,Artillery
Minecraft Dungeons,29.95,14.97,70,56,6.3,491,26-05-2020,Xbox Game Studios,Action RPG
Minigolf Adventure,7.5,1.5,,,4.0,4,22-10-2021,Revulo Games,Golf
Minecraft Dungeons Ultimate Edition,59.95,29.97,70,56,6.3,491,26-05-2020,Xbox Game Studios,Action RPG
Overcooked! All You Can Eat,56.95,22.78,84,13,7.2,67,12-11-2020,Team17,Compilation
Farmer Simulator Evolution,29.99,4.55,,,,,22-02-2024,SC Ovilex Soft,Virtual Career
ibb & obb,22.5,2.25,78,16,8.0,42,06-08-2013,Sparpweed,Action Puzzle
SpongeBob: Krusty Cook-Off,19.5,6.43,48,4,5.0,4,29-04-2021,Tilting Point,Tycoon
Old Man's Journey,14.99,2.99,76,12,6.7,56,17-05-2017,Broken Rules,Adventure
Sprout Valley Special Edition,27.75,2.99,,,,,08-09-2023,RedDeerGames,Virtual Life
Hogwarts Legacy: Digital Deluxe Edition,99.95,49.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ultimate Chicken Horse,22.5,10.12,80,6,8.1,43,25-09-2018,Clever Endeavour Games,2D Platformer
Hole io: Complete Edition,13.5,4.5,,,,,24-12-2023,QubicGames,Action
Flight Sim 2019,19.99,2.99,,,4.5,4,29-02-2020,SC Ovilex Soft,Aircraft Sim
The Escapists: Complete Edition,19.99,3.99,74,31,6.9,44,13-02-2015,Team17,Action
Rubber Bandits,14.99,2.99,,,7.2,5,02-12-2021,Flashbulb,Party
Cat Quest II,22.5,6.75,76,14,7.8,44,24-09-2019,PQube,Action RPG
Who Wants to Be a Millionaire?,60.0,18.0,,,6.0,4,05-10-2010,Ubisoft,Trivia
Tools Up! Ultimate Edition,52.5,7.49,62,5,7.6,17,03-12-2019,All in! Games,Virtual Career
Dead Cells: Medley of Pain Bundle,59.95,35.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Farm Tycoon,29.99,1.5,,,6.9,16,27-05-2022,SONKA,Tycoon
The Survivalists,37.5,3.75,76,9,6.4,14,09-10-2020,Team17,Survival
Bluey: The Videogame,60.0,48.0,56,6,4.9,17,17-11-2023,Outright Games,Action Adventure
DREDGE - Digital Deluxe Edition,37.75,26.42,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Truck Simulator City Delivery,19.99,3.99,,,,,18-05-2024,SC Ovilex Soft,Vehicle Sim
Hunting Simulator 2: Elite Edition,110.0,11.0,54,7,1.3,12,30-06-2020,Bigben Interactive,Hunting
FAR: Lone Sails,22.5,2.25,80,27,7.8,204,17-05-2018,Mixtvision,Linear Action Adventure
Moto Racer 4,22.35,2.23,49,11,4.8,16,24-01-2017,Anuman Interactive,Arcade Racing
Minecraft Legends,59.95,29.97,71,65,4.7,168,18-04-2023,Xbox Game Studios,Real-Time Strategy
The Jackbox Party Pack 3,32.37,21.04,81,6,7.8,35,13-04-2017,"Jackbox Games, Inc.",Party
My Universe - PET CLINIC CATS & DOGS,60.0,6.0,,,,,09-02-2021,Maximum Games,Virtual Career
Theft Ride Legacy,30.0,1.5,,,,,19-05-2023,Prison Games,Auto Racing
Sifu,60.0,24.0,81,83,7.9,773,08-02-2022,Sloclap,3D Beat-'Em-Up
Sherlock Purr Extended Edition,35.95,1.5,,,4.1,7,10-03-2023,Prison Games,Hidden Object
KUUKIYOMI: Consider It!,6.6,3.3,,,4.7,6,19-12-2019,G-mode,Party
ACA NEOGEO METAL SLUG 5,10.5,5.25,,,,,13-12-2018,Hamster,Horizontal Shoot-'Em-Up
Outlast: Bundle of Terror,33.45,8.36,77,14,8.4,54,27-02-2018,Red Barrels,Survival
