title,original_price,special_price,meta_score,meta_reviews,user_score,user_reviews,release_date,publisher,genre
Core Keeper,15.99,9.59,,,,,27-08-2024,Fireshine Games,Sandbox
NBA 2K24,59.99,9.59,68,40,2.2,297,08-09-2023,2K Games,Basketball Sim
Suicide Squad: Kill the Justice League,69.99,27.99,60,91,3.6,1788,02-02-2024,Warner Bros. Interactive Entertainment,Third Person Shooter
Last Hope Bunker: Zombie Survival,6.99,1.04,,,,,09-04-2024,ArtDock,Survival
SOS OPS!,9.99,2.49,,,,,30-11-2023,ArtDock,Action
Far Lands,11.99,2.39,,,,,,,Survival
MY HERO ONE'S JUSTICE 2,59.99,14.99,68,36,5.1,56,13-03-2020,Bandai Namco Games,3D Fighting
Train Sim World 4,39.99,11.99,77,4,6.3,7,26-09-2023,Dovetail Games,Train Sim
Tom Clancy's Ghost Recon Breakpoint,59.99,11.99,56,59,3.3,1149,01-10-2019,Ubisoft,Open-World Action
Tom Clancy’s Rainbow Six Extraction,39.99,9.99,73,49,5.2,179,20-01-2022,Ubisoft,Tactical FPS
Bum Simulator,17.99,5.39,,,6.5,11,12-05-2023,Ragged Games,Virtual Life
The Planet Crafter,23.99,16.79,82,6,5.2,37,24-03-2022,Miju Games,Sandbox
Smalland: Survive the Wilds,34.99,23.44,75,5,,,15-02-2024,Merge Games,Sandbox
The Lord of the Rings: Gollum,49.99,14.99,33,57,1.2,418,25-05-2023,Nacon,Action Adventure
The Anacrusis,9.99,2.49,tbd,4,,,05-12-2023,Stray Bombay Company,FPS
Sons Of The Forest,29.99,20.99,86,17,7.3,74,22-02-2024,Newnight,Survival
FANCY!,5.99,1.67,,,,,17-05-2023,430Games,Matching Puzzle
Gotham Knights,59.99,11.99,67,84,5.2,857,21-10-2022,Warner Bros. Games,Open-World Action
Next Station: Zombies,199.99,9.99,,,,,03-07-2023,Atomic Fabrik,Adventure
PARANOID,24.99,12.49,,,,,,Brenner Simon,Action
UNDYING,19.99,11.99,74,7,7.1,9,07-12-2023,Skystone Games,Survival
Inkulinati,24.99,9.99,78,17,6.9,13,22-02-2024,Daedalic Entertainment,Turn-Based Strategy
Gigantic: Rampage Edition,19.99,11.99,76,12,8.3,50,20-07-2017,Motiga,MOBA
Checkmate Showdown,19.99,6.19,,,,,15-11-2023,ManaVoid Entertainment Inc.,2D Fighting
Marvel's Midnight Suns,59.99,14.99,83,86,7.0,264,02-12-2022,2K Games,Turn-Based Tactics
Bloodhound,12.99,3.89,,,,,18-07-2023,Kruger & Flint Productions,FPS
Fling to the Finish,19.99,9.99,,,,,18-01-2024,Daedalic Entertainment,Party
Against the Storm,29.99,19.49,91,20,8.2,119,08-12-2023,Hooded Horse,Management
Scorn,49.99,14.99,70,76,6.6,554,14-10-2022,Kepler Interactive,Action Adventure
Bopl Battle,9.99,5.99,,,8.9,35,16-11-2023,Zapray Games,Action
Scars Above,29.99,5.99,64,43,6.8,61,28-02-2023,Prime Matter,Action Adventure
Myth of Empires,29.99,20.99,,,7.1,8,21-02-2024,Imperium Interactive Entertainment Limited,MMORPG
Evil West,49.99,17.49,73,46,7.2,285,22-11-2022,Focus Entertainment,Third Person Shooter
Age of Water,29.99,22.49,,,,,,,Open-World Action
Project: Sword Art,4.99,1.39,,,,,15-11-2023,430Games,Matching Puzzle
Jujutsu Kaisen Cursed Clash,59.99,41.99,44,19,4.1,141,02-02-2024,Bandai Namco Games,3D Fighting
Welcome to ParadiZe,29.99,20.09,72,8,6.9,12,29-02-2024,Nacon,Survival
A Plague Tale: Requiem,69.99,26.59,82,70,8.3,1017,18-10-2022,Focus Entertainment,Linear Action Adventure
Sker Ritual,24.99,19.99,57,8,7.5,14,18-04-2024,Wales Interactive,Survival
Bellwright,29.99,26.99,,,,,,,Open-World Action
No One Survived,16.99,8.32,,,,,,,Survival
Evil Nun: The Broken Mask,19.99,11.99,,,,,07-12-2023,Feardemic,Survival
The Front,19.99,13.99,,,,,,,Sandbox
COCOON,24.99,14.99,88,43,7.9,374,29-09-2023,Annapurna Interactive,Action Adventure
Sketchy's Contract,8.99,6.29,,,,,,,Action Adventure
Trans-Siberian Railway Simulator,19.99,17.99,,,,,30-05-2024,PlayWay,Train Sim
Isonzo,29.99,9.89,67,10,6.7,13,13-09-2022,M2H,Tactical FPS
The Thaumaturge,34.99,26.24,74,60,7.3,53,04-03-2024,11 bit studios,RPG
Lost in Tropics,10.99,7.69,,,,,22-05-2024,SIG Publishing,Sandbox
Disney Dreamlight Valley,39.99,29.99,70,13,5.0,28,05-12-2023,Gameloft,Virtual Life
Pacific Drive,29.99,23.99,79,44,7.0,147,21-02-2024,Kepler Interactive,Survival
Enshrouded,29.99,23.99,tbd,15,,,,,Action RPG
Initial Drift Online,4.99,0.99,,,,,,,Auto Racing Sim
Arma Reforger,29.99,22.49,,,,,16-11-2023,Bohemia Interactive,Tactical FPS
Potion Craft: Alchemist Simulator,19.99,8.99,74,13,6.9,47,13-12-2022,tinyBuild,Virtual Career
Chivalry 2,39.99,13.19,82,40,5.3,229,08-06-2021,Tripwire Interactive,3D Beat-'Em-Up
Serum,24.99,19.99,,,,,23-05-2024,Toplitz Productions,Linear Action Adventure
Nightingale,29.99,23.99,tbd,11,,,,,Sandbox
Tiny Tina's Wonderlands,59.99,14.99,78,91,5.7,321,25-03-2022,2K Games,FPS
Amnesia: The Bunker,24.99,12.49,77,63,7.7,150,06-06-2023,Frictional Games,Survival
Jagged Alliance 3,44.99,22.49,81,52,8.1,149,14-07-2023,THQ Nordic,Turn-Based Tactics
PGA TOUR 2K23,59.99,14.99,76,34,4.8,31,11-10-2022,2K Games,Golf Sim
Hogwarts Legacy,59.99,29.99,84,101,8.4,4527,07-02-2023,Warner Bros. Interactive Entertainment,Western RPG
Dice Kingdoms,14.99,10.49,,,,,,,Turn-Based Strategy
Robin Hood - Sherwood Builders,29.99,20.99,,,,,29-02-2024,PlayWay,Open-World Action
Project Asteroids,9.99,4.49,,,,,,,Adventure
BLACKTAIL,29.99,9.89,80,16,6.6,36,15-12-2022,Focus Entertainment,FPS
September 7th,6.99,1.88,,,6.3,7,06-01-2023,EMIKA_GAMES,First-Person Adventure
Aliens: Dark Descent,39.99,21.99,75,68,8.1,119,20-06-2023,Focus Entertainment,Real-Time Tactics
Synergy,24.99,22.49,,,,,,,Management
Beyond Contact,19.99,5.99,62,5,,,04-04-2023,Deep Silver,Survival
Palworld,29.99,26.99,tbd,21,,,,,Sandbox
Colony Ship: A Post-Earth Role Playing Game,39.99,25.99,,,7.5,21,06-04-2021,Iron Tower Studio,Western RPG
Friends vs Friends,9.99,4.99,,,7.1,13,30-05-2023,Raw Fury,Tactical FPS
BOKURA,5.49,3.29,,,,,10-08-2023,Kodansha,Action Adventure
Legendary Hoplite,14.99,7.49,,,,,02-02-2024,Ravenage Games,Defense
My Time at Sandrock,39.99,29.99,80,18,7.3,66,02-11-2023,Pathea Games,RPG
Outpost: Infinity Siege,24.99,22.49,55,4,,,26-03-2024,Lightning Games,FPS
New Cycle,29.99,23.99,,,,,,,Management
